"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1000","Guest should see login link on Main page","tests","2026-06-17","passed","2026-06-17","TestMainPage","test_main_page","",""
"","1478","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","740","Guest should see login link on Product page","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","1289","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","1236","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","6049","Empty basket opened from Product page has no products","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","6046","Guest see no messages on Product page","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","1744","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","5448","Authorized user see no messages on Product page","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","6536","Empty basket opened from Main page has no products","tests","2026-06-17","passed","2026-06-17","TestMainPage","test_main_page","",""
"","1939","Authorized user can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","1255","Guest can go to Login page from Product page","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","1226","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","904","Guest can go to Login page from Main page","tests","2026-06-17","passed","2026-06-17","TestMainPage","test_main_page","",""
"","1246","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","1529","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","1042","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","1556","Guest can add product to basket","tests","2026-06-17","skipped","2026-06-17","TestProductPage","test_product_page","",""
"","1124","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
