"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1431","Guest can go to Login page from Main page","tests","2026-06-17","passed","2026-06-17","TestMainPage","test_main_page","",""
"","5573","Authorized user see no messages on Product page","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","2033","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","2709","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","2263","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","2165","Authorized user can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","1718","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","1803","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","1706","Guest can go to Login page from Product page","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","1250","Guest should see login link on Product page","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","6259","Guest see no messages on Product page","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","6848","Empty basket opened from Main page has no products","tests","2026-06-17","passed","2026-06-17","TestMainPage","test_main_page","",""
"","1788","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","2435","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","1848","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","6599","Empty basket opened from Product page has no products","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","2357","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","2471","Guest can add product to basket","tests","2026-06-17","skipped","2026-06-17","TestProductPage","test_product_page","",""
"","1254","Guest should see login link on Main page","tests","2026-06-17","passed","2026-06-17","TestMainPage","test_main_page","",""
