"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1265","Guest can go to Login page from Product page","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","710","Guest should see login link on Main page","tests","2026-06-17","passed","2026-06-17","TestMainPage","test_main_page","",""
"","2054","Authorized user can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","1104","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","5559","Guest see no messages on Product page","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","1525","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","6156","Empty basket opened from Main page has no products","tests","2026-06-17","passed","2026-06-17","TestMainPage","test_main_page","",""
"","1134","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","383","Guest should see login link on Product page","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","5914","Empty basket opened from Product page has no products","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","5894","Guest can add product to basket","tests","2026-06-17","skipped","2026-06-17","TestProductPage","test_product_page","",""
"","1337","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","1296","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","1488","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","1250","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","1263","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","705","Guest can go to Login page from Main page","tests","2026-06-17","passed","2026-06-17","TestMainPage","test_main_page","",""
"","5691","Authorized user see no messages on Product page","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","1232","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
