"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1571","Guest can go to Login page from Product page","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","1622","Guest should see login link on Product page","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","3147","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","1626","Guest should see login link on Main page","tests","2026-06-17","passed","2026-06-17","TestMainPage","test_main_page","",""
"","1654","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","2614","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","2231","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","2048","Authorized user can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","1983","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","2002","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","1053","Guest can add product to basket","tests","2026-06-17","skipped","2026-06-17","TestProductPage","test_product_page","",""
"","2201","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","1998","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","1868","Guest can add product to basket","tests","2026-06-17","passed","2026-06-17","TestProductPage","test_product_page","",""
"","1870","Guest can go to Login page from Main page","tests","2026-06-17","passed","2026-06-17","TestMainPage","test_main_page","",""
